./img/question_1.png,"문제
[Latex_1]","{
    ""Latex_1"": {
        ""Origin"": ""\\( \n1 + [FRAC 1] 을 간단히 하시오.\n\\)"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""\\frac{1}{1 + [FRAC 2]}"",
            ""[FRAC 2]"": ""\\frac{1}{1 + [FRAC 3]}"",
            ""[FRAC 3]"": ""\\frac{1}{x}""
        }
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""일 더하기 [FRAC 1]을 간단히 하시오."",
        ""Frac_list"": {
            ""[FRAC 1]"": ""일 더하기 [FRAC 2] 분의 일"",
            ""[FRAC 2]"": ""일 더하기 [FRAC 3] 분의 일"",
            ""[FRAC 3]"": ""엑스 분의 일  ""
        }
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""일 더하기 [일 더하기 [일 더하기 [엑스 분의 일] 분의 일] 분의 일]을 간단히 하시오."",
        ""Frac_list"": {
            ""[FRAC 1]"": ""일 더하기 [FRAC 2] 분의 일"",
            ""[FRAC 2]"": ""일 더하기 [FRAC 3] 분의 일"",
            ""[FRAC 3]"": ""엑스 분의 일  ""
        }
    }
}",문제: 일 더하기 일 더하기 일 더하기 엑스 분의 일을 간단히 하시오.,,
./img/question_1012.png,"문제
어느 학교 학생들이 일주일 동안 운동하는 시간은 평균이 40분 표준편차가 9분인 정규분포를 따른다고 한다 이 학교 학생 중 임의추출한 36명이 일주일 동안 운동하는 시간의 평균이 37분 이상 43분 이하일 확률을 위의 표준정규분포표를 이용하여 구하시오",,,,,,
./img/question_1015.png,"문제
오른쪽 그림은 각각 정규분포 [Latex_1] [Latex_2]를 따르는 확률변수 [Latex_3] [Latex_4]의 확률밀도함수 [Latex_5] [Latex_6]의 그래프를 나타낸 것이고 [Latex_7]가 성립한다 두 곡선과 직선 [Latex_8]로 둘러싸인 도형의 넓이를 [Latex_9] 두 곡선과 직선 [Latex_10]으로 둘러싸인 도형의 넓이를 [Latex_11]라 할 때 [Latex_12]의 값을 구하시오 단 [Latex_13])","{
    ""Latex_1"": {
        ""Origin"": ""\\(N(32, 4^2)\\)""
    },
    ""Latex_2"": {
        ""Origin"": ""\\(N(m, \\sigma^2)\\)""
    },
    ""Latex_3"": {
        ""Origin"": ""\\(X\\)""
    },
    ""Latex_4"": {
        ""Origin"": ""\\(Y\\)""
    },
    ""Latex_5"": {
        ""Origin"": ""\\(f(x)\\)""
    },
    ""Latex_6"": {
        ""Origin"": ""\\(g(x)\\)""
    },
    ""Latex_7"": {
        ""Origin"": ""\\(Y = 2X - 24\\)""
    },
    ""Latex_8"": {
        ""Origin"": ""\\(x = 24\\)""
    },
    ""Latex_9"": {
        ""Origin"": ""\\(S_1\\)""
    },
    ""Latex_10"": {
        ""Origin"": ""\\(x = m\\)""
    },
    ""Latex_11"": {
        ""Origin"": ""\\(S_2\\)""
    },
    ""Latex_12"": {
        ""Origin"": ""\\(S_1 - S_2\\)""
    },
    ""Latex_13"": {
        ""Origin"": ""\\(P([INEQUAL 1]) = 0.4772\\)"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""0 \\leq Z \\leq 2""
        }
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""엔 삼십이, 사의 제곱""
    },
    ""Latex_2"": {
        ""Origin"": ""엔 미우, 시그마 제곱""
    },
    ""Latex_3"": {
        ""Origin"": ""엑스""
    },
    ""Latex_4"": {
        ""Origin"": ""와이""
    },
    ""Latex_5"": {
        ""Origin"": ""에프엑스""
    },
    ""Latex_6"": {
        ""Origin"": ""\n쥐엑스""
    },
    ""Latex_7"": {
        ""Origin"": ""와이는 이엑스 빼기 이십사""
    },
    ""Latex_8"": {
        ""Origin"": ""엑스는 이십사""
    },
    ""Latex_9"": {
        ""Origin"": ""에스 일""
    },
    ""Latex_10"": {
        ""Origin"": ""엑스는 엠""
    },
    ""Latex_11"": {
        ""Origin"": ""에스 이""
    },
    ""Latex_12"": {
        ""Origin"": ""에스일 빼기 에스이""
    },
    ""Latex_13"": {
        ""Origin"": ""\n[INEQUAL 1]일 때 피는 영 점 사칠칠이"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""영은 제트보다 작거나 같고, 제트는 이보다 작거나 같다.""
        }
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""엔 삼십이, 사의 제곱""
    },
    ""Latex_2"": {
        ""Origin"": ""엔 미우, 시그마 제곱""
    },
    ""Latex_3"": {
        ""Origin"": ""엑스""
    },
    ""Latex_4"": {
        ""Origin"": ""와이""
    },
    ""Latex_5"": {
        ""Origin"": ""에프엑스""
    },
    ""Latex_6"": {
        ""Origin"": ""\n쥐엑스""
    },
    ""Latex_7"": {
        ""Origin"": ""와이는 이엑스 빼기 이십사""
    },
    ""Latex_8"": {
        ""Origin"": ""엑스는 이십사""
    },
    ""Latex_9"": {
        ""Origin"": ""에스 일""
    },
    ""Latex_10"": {
        ""Origin"": ""엑스는 엠""
    },
    ""Latex_11"": {
        ""Origin"": ""에스 이""
    },
    ""Latex_12"": {
        ""Origin"": ""에스일 빼기 에스이""
    },
    ""Latex_13"": {
        ""Origin"": ""\n[영은 제트보다 작거나 같고, 제트는 이보다 작거나 같다.]일 때 피는 영 점 사칠칠이"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""영은 제트보다 작거나 같고, 제트는 이보다 작거나 같다.""
        }
    }
}","문제 오른쪽 그림은 각각 정규분포 엔 삼십이, 사의 제곱과 엔 미우, 시그마 제곱을 따르는 확률변수 엑스와 와이의 확률밀도함수 에프엑스와 쥐엑스의 그래프를 나타낸 것이고 와이는 이엑스 빼기 이십사가 성립합니다. 두 곡선과 직선 엑스는 이십사로 둘러싸인 도형의 넓이를 에스 일, 두 곡선과 직선 엑스는 엠으로 둘러싸인 도형의 넓이를 에스 이라 할 때 에스일 빼기 에스이의 값을 구하시오. 단, 영은 제트보다 작거나 같고, 제트는 이보다 작거나 같을 때 피는 영 점 사칠칠입니다.",,
./img/question_1029.png,"문제
어느 대학에 입학한 신입생들의 수능 점수는 평균이 400점 표준편차가 80점인 정규분포를 따른다고 한다 이 대학 신입생 중 임의추출한 64명의 수능 점수의 평균을 [Latex_1]라 할 때 [Latex_2]를 만족시키는 상수 [Latex_3]의 값을 위의 표준정규분포표를 이용하여 구하시오","{
    ""Latex_1"": {
        ""Origin"": ""\\(\\overline{X}\\)""
    },
    ""Latex_2"": {
        ""Origin"": ""\\(P([INEQUAL 1]) = 0.3085\\)"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""\\overline{X} \\geq k""
        }
    },
    ""Latex_3"": {
        ""Origin"": ""\\(k\\)""
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""엑스 바""
    },
    ""Latex_2"": {
        ""Origin"": ""[INEQUAL 1]일 때 피는 영 점 삼공팔오"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""엑스 바는 케이보다 크거나 같다.""
        }
    },
    ""Latex_3"": {
        ""Origin"": ""케이""
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""엑스 바""
    },
    ""Latex_2"": {
        ""Origin"": ""[엑스 바는 케이보다 크거나 같다.]일 때 피는 영 점 삼공팔오"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""엑스 바는 케이보다 크거나 같다.""
        }
    },
    ""Latex_3"": {
        ""Origin"": ""케이""
    }
}","문제에서 어느 대학에 입학한 신입생들의 수능 점수는 평균이 400점, 표준편차가 80점인 정규분포를 따른다고 합니다. 이 대학 신입생 중 임의로 추출한 64명의 수능 점수의 평균을 엑스 바라 할 때, 엑스 바가 케이보다 크거나 같을 때 피가 영 점 삼공팔오를 만족시키는 상수 케이의 값을 위의 표준정규분포표를 이용하여 구하시오.",,
./img/question_1072.png,"문제
3쌍의 부부가 원탁에 둘러앉을 때 부부끼리 이웃하게 앉는 경우의 수는

선지
1 12
2 14
3 16
4 18
5 20",,,,,,
./img/question_1076.png,"문제
어느 전자 회사가 자사의 노트북을 구입한 소비자 만 명을 대상으로 노트북의 사용 기간을 조사하였더니 평균 72개월 표준편차 24개월인 정규분포를 따르는 것으로 나타났다 조사 대상의 소비자 중에서 사용 기간이 8년에서 9년 사이인 소비자가 [Latex_1]명일 때 위의 표준정규분포표를 이용하여 자연수 [Latex_2]의 값을 구하시오

보기
[Latex_3]","{
    ""Latex_1"": {
        ""Origin"": ""\\( n \\)""
    },
    ""Latex_2"": {
        ""Origin"": ""\\( n \\)""
    },
    ""Latex_3"": {
        ""Origin"": ""\\(\n\\begin{cases}\nz & P([INEQUAL 1]) \\\\\n\\hline\n1.0 & 0.3413 \\\\\n1.5 & 0.4332 \\\\\n2.0 & 0.4772 \\\\\n2.5 & 0.4938 \\\\\n\\end{cases}\n\\)"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""0 \\leq Z \\leq z""
        }
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""엔""
    },
    ""Latex_2"": {
        ""Origin"": ""엔""
    },
    ""Latex_3"": {
        ""Origin"": ""\\[\n\\begin{cases}\n제트 & [INEQUAL 1]일 때 피 \\\\\n\\hline\n일점영 & 영점삼사일삼 \\\\\n일점오 & 영점사삼삼이 \\\\\n이점영 & 영점사칠칠이 \\\\\n이점오 & 영점사구삼팔 \\\\\n\\end{cases}\n\\]"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""영은 대문자 제트보다 작거나 같고, 대문자 제트는 소문자 제트보다 작거나 같다.""
        }
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""엔""
    },
    ""Latex_2"": {
        ""Origin"": ""엔""
    },
    ""Latex_3"": {
        ""Origin"": ""\\[\n\\begin{cases}\n제트 & [영은 대문자 제트보다 작거나 같고, 대문자 제트는 소문자 제트보다 작거나 같다.]일 때 피 \\\\\n\\hline\n일점영 & 영점삼사일삼 \\\\\n일점오 & 영점사삼삼이 \\\\\n이점영 & 영점사칠칠이 \\\\\n이점오 & 영점사구삼팔 \\\\\n\\end{cases}\n\\]"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""영은 대문자 제트보다 작거나 같고, 대문자 제트는 소문자 제트보다 작거나 같다.""
        }
    }
}","어느 전자 회사가 자사의 노트북을 구입한 소비자 만 명을 대상으로 노트북의 사용 기간을 조사하였더니 평균 72개월, 표준편차 24개월인 정규분포를 따르는 것으로 나타났습니다. 조사 대상의 소비자 중에서 사용 기간이 8년에서 9년 사이인 소비자가 엔 명일 때, 위의 표준정규분포표를 이용하여 자연수 엔의 값을 구하시오.

보기

\[
\begin{cases}
제트 & 영은 대문자 제트보다 작거나 같고, 대문자 제트는 소문자 제트보다 작거나 같다.일 때 피 \\
\hline
일점영 & 영점삼사일삼 \\
일점오 & 영점사삼삼이 \\
이점영 & 영점사칠칠이 \\
이점오 & 영점사구삼팔 \\
\end{cases}
\]",표 인식(OCR),
./img/question_1098.png,"문제
어느 고등학교 학생들의 수학 점수는 표준편차가 20점인 정규분포를 따른다고 한다 이 고등학교 학생 중에서 임의추출한 학생 25명의 수학 점수의 평균이 66점이었을 때 이 고등학교 학생들의 수학 점수의 평균 [Latex_1]점을 신뢰도 [Latex_2]로 추정한 신뢰구간이 [Latex_3]이다 이때 [Latex_4]의 값을 위의 표준정규분포표를 이용하여 구하시오","{
    ""Latex_1"": {
        ""Origin"": ""\\( m \\)""
    },
    ""Latex_2"": {
        ""Origin"": ""\\( \\alpha \\% \\)""
    },
    ""Latex_3"": {
        ""Origin"": ""\\( [INEQUAL 1] \\)"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""58.48 \\leq m \\leq 73.52""
        }
    },
    ""Latex_4"": {
        ""Origin"": ""\\( \\alpha \\)""
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""엠""
    },
    ""Latex_2"": {
        ""Origin"": ""알파 퍼센트""
    },
    ""Latex_3"": {
        ""Origin"": ""[INEQUAL 1] 부등식"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""오십팔 점 사팔은 엠보다 작거나 같고, 엠은 칠십삼 점 오이보다 작거나 같다.""
        }
    },
    ""Latex_4"": {
        ""Origin"": ""알파""
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""엠""
    },
    ""Latex_2"": {
        ""Origin"": ""알파 퍼센트""
    },
    ""Latex_3"": {
        ""Origin"": ""[오십팔 점 사팔은 엠보다 작거나 같고, 엠은 칠십삼 점 오이보다 작거나 같다.] 부등식"",
        ""Inequal_list"": {
            ""[INEQUAL 1]"": ""오십팔 점 사팔은 엠보다 작거나 같고, 엠은 칠십삼 점 오이보다 작거나 같다.""
        }
    },
    ""Latex_4"": {
        ""Origin"": ""알파""
    }
}","문제에서 주어진 조건에 따라, 이 고등학교 학생들의 수학 점수의 평균 엠점을 신뢰도 알파 퍼센트로 추정한 신뢰구간이 오십팔 점 사팔은 엠보다 작거나 같고, 엠은 칠십삼 점 오이보다 작거나 같다는 부등식으로 주어졌습니다. 이때 알파의 값을 위의 표준정규분포표를 이용하여 구하시오.",문제 곡해(Merge),
./img/question_1105.png,"문제
네 고등학교 [Latex_1]의 3학년 학생들의 수학 성적이 각각 정규분포를 따르고 각 정규분포의 확률밀도함수의 그래프가 오른쪽 그림과 같을 때 수학 성적의 평균이 가장 높은 학교와 표준편차가 가장 큰 학교를 차례대로 구하시오","{
    ""Latex_1"": {
        ""Origin"": ""\\(A, B, C, D\\)""
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""에이, 비, 씨, 디""
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""에이, 비, 씨, 디""
    }
}","문제에서 네 고등학교 에이, 비, 씨, 디의 3학년 학생들의 수학 성적이 각각 정규분포를 따르고, 각 정규분포의 확률밀도함수의 그래프가 주어졌을 때, 수학 성적의 평균이 가장 높은 학교와 표준편차가 가장 큰 학교를 차례대로 구하시오.",,
./img/question_1108.png,"문제
[Latex_1]를 포함한 8명이 원탁에 일정한 간격으로 둘러앉을 때 [Latex_2]는 [Latex_3]와 [Latex_4]는 [Latex_5]와 마주 보고 앉을 확률은

선지
1 [Latex_6]
2 [Latex_7]
3 [Latex_8]
4 [Latex_9]
5 [Latex_10]","{
    ""Latex_1"": {
        ""Origin"": ""\\( A, B, C, D \\)""
    },
    ""Latex_2"": {
        ""Origin"": ""\\( A \\)""
    },
    ""Latex_3"": {
        ""Origin"": ""\\( B \\)""
    },
    ""Latex_4"": {
        ""Origin"": ""\\( C \\)""
    },
    ""Latex_5"": {
        ""Origin"": ""\\( D \\)""
    },
    ""Latex_6"": {
        ""Origin"": ""\\([FRAC 1]\\)"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""\\frac{1}{35}""
        }
    },
    ""Latex_7"": {
        ""Origin"": ""\\([FRAC 1]\\)"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""\\frac{1}{7}""
        }
    },
    ""Latex_8"": {
        ""Origin"": ""\\([FRAC 1]\\)"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""\\frac{1}{5}""
        }
    },
    ""Latex_9"": {
        ""Origin"": ""\\([FRAC 1]\\)"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""\\frac{9}{35}""
        }
    },
    ""Latex_10"": {
        ""Origin"": ""\\([FRAC 1]\\)"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""\\frac{2}{7}""
        }
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""에이, 비, 씨, 디""
    },
    ""Latex_2"": {
        ""Origin"": ""에이""
    },
    ""Latex_3"": {
        ""Origin"": ""비""
    },
    ""Latex_4"": {
        ""Origin"": ""씨""
    },
    ""Latex_5"": {
        ""Origin"": ""디""
    },
    ""Latex_6"": {
        ""Origin"": ""\n[FRAC 1]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""삼십오 분의 일  ""
        }
    },
    ""Latex_7"": {
        ""Origin"": ""\n[FRAC 1]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""칠 분의 일  ""
        }
    },
    ""Latex_8"": {
        ""Origin"": ""\n[FRAC 1]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""오 분의 일""
        }
    },
    ""Latex_9"": {
        ""Origin"": ""\n[FRAC 1]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""삼십오 분의 구""
        }
    },
    ""Latex_10"": {
        ""Origin"": ""\n[FRAC 1]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""칠 분의 이  ""
        }
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""에이, 비, 씨, 디""
    },
    ""Latex_2"": {
        ""Origin"": ""에이""
    },
    ""Latex_3"": {
        ""Origin"": ""비""
    },
    ""Latex_4"": {
        ""Origin"": ""씨""
    },
    ""Latex_5"": {
        ""Origin"": ""디""
    },
    ""Latex_6"": {
        ""Origin"": ""\n[삼십오 분의 일]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""삼십오 분의 일  ""
        }
    },
    ""Latex_7"": {
        ""Origin"": ""\n[칠 분의 일]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""칠 분의 일  ""
        }
    },
    ""Latex_8"": {
        ""Origin"": ""\n[오 분의 일]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""오 분의 일""
        }
    },
    ""Latex_9"": {
        ""Origin"": ""\n[삼십오 분의 구]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""삼십오 분의 구""
        }
    },
    ""Latex_10"": {
        ""Origin"": ""\n[칠 분의 이]"",
        ""Frac_list"": {
            ""[FRAC 1]"": ""칠 분의 이  ""
        }
    }
}","문제에서 에이, 비, 씨, 디를 포함한 8명이 원탁에 일정한 간격으로 둘러앉을 때 에이는 비와, 씨는 디와 마주 보고 앉을 확률을 구하는 것입니다.

선지:
1. 삼십오 분의 일
2. 칠 분의 일
3. 오 분의 일
4. 삼십오 분의 구
5. 칠 분의 이",,
./img/question_1111.png,"문제
어떤 양궁 선수는 화살을 쏠 때 5발 중에서 4발의 비율로 과녁을 명중시킨다고 한다 이 선수가 4발의 화살을 쏠 때 2발 이상 과녁을 명중시킬 확률을 구하시오",,,,,,
./img/question_1118.png,"문제
두 사건 [Latex_1]에 대하여
[Latex_2]
일 때 [Latex_3]를 구하시오","{
    ""Latex_1"": {
        ""Origin"": ""\\(A, B\\)""
    },
    ""Latex_2"": {
        ""Origin"": ""\\( P(A) = 0.5, \\, P(A \\mid B) = 0.3, \\, P(B \\mid A) = 0.4 \\)""
    },
    ""Latex_3"": {
        ""Origin"": ""\\(P(B)\\)""
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""에이, 비""
    },
    ""Latex_2"": {
        ""Origin"": ""피에이는 영점오, 피에이 주어진 비는 영점삼, 피비 주어진 에이는 영점사""
    },
    ""Latex_3"": {
        ""Origin"": ""피비""
    }
}","{
    ""Latex_1"": {
        ""Origin"": ""에이, 비""
    },
    ""Latex_2"": {
        ""Origin"": ""피에이는 영점오, 피에이 주어진 비는 영점삼, 피비 주어진 에이는 영점사""
    },
    ""Latex_3"": {
        ""Origin"": ""피비""
    }
}","문제
두 사건 에이, 비에 대하여 피에이는 영점오, 피에이 주어진 비는 영점삼, 피비 주어진 에이는 영점사일 때 피비를 구하시오.",조건부 확률,
